Address,Housing_price,Baths,Housing_type,ZipCode,Beds,Location,Housing_area
15 W 72nd St #21S,"$2,195,000",2 ba,Coop,10023,2 bd,"40.77707,-73.976845",NA
30 West St #2F,"$1,900,000",2 ba,Condo,10004,1 bd,"40.706573,-74.01578","1,868 sqft"
1095 Park Ave,"$985,000",1 ba,Coop,10128,NA,"40.781715,-73.95545","1,300 sqft"
25 Central Park W #9-G,"$1,349,000",NA,NA,10023,NA,"40.770405,-73.9804",NA
641 5th Ave #37F,,1 ba,Condo,10022,1 bd,"40.75907,-73.97595","1,205 sqft"
425 5th Ave #48-C,,NA,NA,10016,NA,"40.750965,-73.982185",NA
301 W 53rd St #6CD,"$2,825,000",NA,NA,10019,NA,"40.76466,-73.98491",NA
924 W End Ave #25,"$4,750,000",NA,NA,10025,NA,"40.80122,-73.96867",NA
5 Beekman St #43B,"$3,825,000",NA,NA,10038,NA,"40.71121,-74.00668",NA
120 Riverside Blvd #4NW,"$1,395,000",NA,NA,10069,NA,"40.776352,-73.98913",NA
510 W 123rd St #7,"$600,000",1 ba,Coop,10027,2 bd,"40.81133,-73.958565",NA
200 E 61st St,"$2,850,000",NA,NA,10065,NA,"40.762367,-73.965576",NA
635 W 42nd St #9D,,NA,NA,10036,NA,"40.76179,-73.99966",NA
433 E 51st St #10G,"$649,000",1 ba,Coop,10022,1 bd,"40.754204,-73.96439",NA
32 Gramercy Park S #15F,"$699,000",1 ba,Coop,10003,NA,"40.737415,-73.98597",NA
221 E 117th St,,NA,NA,10035,NA,"40.798397,-73.9384",NA
Address Not Disclosed,"$4,049,990",NA,NA,10022,NA,"40.754353,-73.966",NA
130 W 19th St,"$4,250,000",NA,NA,10011,NA,"40.74096,-73.99627",NA
630 1st Ave,"$950,000",NA,NA,10016,NA,"40.745155,-73.97184",NA
233 E 17th St #PH2,"$2,850,000",NA,NA,10003,NA,"40.734756,-73.98434",NA
123 Washington St #39-BD,,NA,NA,10006,NA,"40.709145,-74.013695",NA
40 E 61st St #14 A,,2 ba,Condo,10065,2 bd,"40.764317,-73.96986","1,300 sqft"
Lower Park Avenue Penthouse Duplex #4S,"$4,500,000",NA,NA,10016,NA,"40.744946,-73.978226",NA
130 E 63rd St,"$1,695,000",NA,NA,10065,NA,"40.76462,-73.96677",NA
1212 5th Ave #3C,"$1,150,000",NA,NA,10029,NA,"40.7914,-73.95281",NA
408 E 79th St #8B,"$2,995,000+",3 ba,Condo,10075,3 bd,"40.77182,-73.95221","1,858 sqft"
414 E 52nd St #8E,"$715,000",1 ba,Coop,10022,1 bd,"40.754547,-73.964455",NA
58 W 58th St #31E,"$2,995,000",NA,NA,10019,NA,"40.764465,-73.97635",NA
123 Washington St #50-H,"$1,305,000",NA,NA,10006,NA,"40.709145,-74.013695",NA
114 W 80th St #1F,,1 ba,Coop,10024,NA,"40.78282,-73.97608",500 sqft
1 York St #3C,,NA,NA,10013,NA,"40.721184,-74.005646",NA
175 W 12th St #11J,,NA,Single-Family Home,10011,1 bd,"40.73736,-74.00013",782 sqft
67 Avenue C #3A,,NA,NA,10009,NA,"40.722836,-73.980095",NA
456 W 167th St,"$448,000",1 ba,Condo,10032,NA,"40.839172,-73.9372",691 sqft
625 Park Ave #6A,,4.5 ba,Coop,10065,4 bd,"40.76678,-73.96661",NA
465 Park Ave #22E,,NA,NA,10022,NA,"40.76165,-73.970116",NA
135 W 52nd St #28A,"$5,300,000",NA,NA,10019,NA,"40.762245,-73.98171",NA
30 E 85th St #22-B,"$5,750,000",NA,NA,10028,NA,"40.780067,-73.95978",NA
55 E 87th St #4A,,NA,NA,10128,NA,"40.781406,-73.95742",NA
220 Riverside Blvd,"$1,389,000",NA,NA,10069,NA,"40.779762,-73.98732",NA
20 West St #27F,"$700,000",NA,NA,10004,NA,"40.706177,-74.01561",NA
415 E 37th St #10A,"$1,050,000",NA,NA,10016,NA,"40.74569,-73.97123",NA
35 W 15th St #13C,"$6,105,000",NA,NA,10011,NA,"40.73753,-73.99473",NA
50 Park Ave,"$795,000",NA,NA,10016,NA,"40.74937,-73.98035",NA
215 E 96th St #29H,,2 ba,Condo,10128,2 bd,"40.785122,-73.947975","1,169 sqft"
1600 Broadway #15A,,1 ba,Condo,10019,1 bd,"40.760193,-73.984344",889 sqft
116 E 66th St #34C,,NA,NA,10065,NA,"40.76676,-73.96572",NA
520 E 86th St #3B,"$1,950,000",NA,NA,10028,NA,"40.77526,-73.94631",NA
330 E 38th St #50-L,,NA,NA,10016,NA,"40.746414,-73.97337",NA
421 W 54th St #5G,"$2,495,000",NA,NA,10019,NA,"40.766735,-73.98828",NA
200 W End Ave #11L,"$1,799,000",NA,NA,10023,NA,"40.777977,-73.98539",NA
301 W 53rd St #6F,"$1,720,000",NA,NA,10019,NA,"40.76466,-73.98491",NA
322 W 57th St #20J,,NA,NA,10019,NA,"40.76713,-73.9842",NA
12 E 87th St,,NA,NA,10128,NA,"40.781593,-73.95907",NA
180 E End Ave #18C,"$1,845,000",2 ba,Coop,10128,2 bd,"40.776726,-73.94401",NA
Address Not Disclosed,"$4,500,000",NA,NA,10016,NA,"40.747707,-73.980354",NA
24 Central Park S #12W,,NA,NA,10019,NA,"40.76482,-73.974945",NA
Address Not Disclosed,"$7,400,000",4 ba,Coop,10022,3 bd,"40.754642,-73.963104",NA
234 E 46th St,"$1,200,000",NA,NA,10017,NA,"40.752563,-73.9714",NA
1199 Park Ave #1D,"$479,000",1 ba,Coop,10128,NA,"40.785282,-73.95313",NA
252 7th Ave #14J,"$2,695,000",NA,NA,10001,NA,"40.745304,-73.99549",NA
200 E 94th St #721,"$2,150,000+",2 ba,Condo,10128,2 bd,"40.783703,-73.95021","1,406 sqft"
254 Park Ave S #1NO,"$1,750,000",NA,NA,10010,NA,"40.738647,-73.987946",NA
300 Central Park W #18E,,3 ba,Coop,10024,3 bd,"40.78835,-73.967705",NA
300 E 85th St #2705,"$4,500,000",4 ba,Condo,10028,5 bd,"40.776867,-73.952034",NA
1050 Park Ave,,NA,NA,10028,NA,"40.780838,-73.95727",NA
315 W 70th St #17G,"$1,485,000",2 ba,Coop,10023,2 bd,"40.779037,-73.98611",NA
907 5th Ave #6B,"$6,995,000",2 ba,Coop,10021,2 bd,"40.772053,-73.96687",NA
441 E 57th St #2,"$2,295,000",2 ba,Condo,10022,2 bd,"40.757973,-73.96139","1,724 sqft"
419 W 55th St #5C,,NA,NA,10019,NA,"40.767246,-73.98754",NA
32 W 18th St #4A,,NA,NA,10011,NA,"40.739113,-73.99382",NA
205 W 76th St #PH4B,,2 ba,Condo,10023,3 bd,"40.781567,-73.97995","1,801 sqft"
12 Beekman Pl #12A,"$1,499,000",1 ba,Coop,10022,1 bd,"40.753265,-73.96523",NA
485 Park Ave #4A,"$3,900,000",3 ba,Coop,10022,3 bd,"40.762295,-73.96978",NA
135 W 70th St,"$12,750,000",NA,NA,10023,NA,"40.776924,-73.98094",NA
975 Park Ave #7-B,,NA,NA,10028,NA,"40.77785,-73.95827",NA
344 W 72nd St #802,"$4,785,000+",2 ba,Condo,10023,3 bd,"40.780388,-73.98636","2,140 sqft"
120 Riverside Blvd #PH4K,"$2,395,000",2 ba,Condo,10069,2 bd,"40.776352,-73.98913","1,275 sqft"
555 W 59th St #12C,,NA,NA,10019,NA,"40.77165,-73.98959",NA
Address Not Disclosed,,NA,NA,10036,NA,"40.757683,-73.97934",NA
100 W 39th St #40D,"$895,000",NA,NA,10018,NA,"40.752876,-73.98573",NA
1 Central Park S #1602,"$2,137,000",1 ba,Condo,10019,NA,"40.76413,-73.97356",NA
65 Central Park W #15E,,2 ba,Coop,10023,3 bd,"40.77279,-73.97886",NA
255 E 74th St #27A,,NA,NA,10021,NA,"40.770466,-73.95786",NA
11 Beach St #8C,"$7,600,000",NA,NA,10013,NA,"40.720654,-74.006195",NA
5 Beekman St #37A,"$3,275,000",NA,NA,10038,NA,"40.71121,-74.00668",NA
101 W 24th St #21H,,1 ba,Condo,10011,1 bd,"40.744045,-73.99251",834 sqft
233 W 16th St,"$8,995,000",NA,NA,10011,NA,"40.74069,-74.000015",NA
305 E 24th St #15C,"$1,895,000",NA,NA,10010,NA,"40.738407,-73.97969",NA
443 Greenwich St #3G,,NA,NA,10013,NA,"40.72306,-74.009125",NA
200 W 24th St #9A,"$2,500,000",NA,NA,10011,NA,"40.744747,-73.99553",NA
425 5th Ave,"$815,000",NA,NA,10016,NA,"40.750965,-73.982185",NA
172 Madison Ave #23A,"$6,000,000",NA,NA,10016,NA,"40.747337,-73.98363",NA
400 E 67th St #9E,,NA,NA,10065,NA,"40.764275,-73.958145",NA
111 E 56th St #411,,NA,NA,10022,NA,"40.76071,-73.970345",NA
1725 York Ave #28F,,NA,NA,10128,NA,"40.778244,-73.94603",NA
239 E 79th St #12-D,"$625,000",NA,NA,10075,NA,"40.773827,-73.95584",NA
200 E 62nd St #5A,"$2,975,000+",2.5 ba,Condo,10065,2 bd,"40.76302,-73.96508","1,699 sqft"
675 W End Ave #14-C,"$799,000",NA,NA,10025,NA,"40.79316,-73.97514",NA
77 Park Ave #14B,"$1,239,000",1 ba,Condo,10016,1 bd,"40.74983,-73.97867",707 sqft
319 E 50th St #4G,"$750,000",NA,NA,10022,NA,"40.75465,-73.96769",NA
41 5th Ave #6A,,NA,NA,10003,NA,"40.733738,-73.994774",NA
225 E 57th St #11P,,1 ba,Coop,10022,1 bd,"40.76004,-73.96651",NA
443 Greenwich St #1H,,NA,NA,10013,NA,"40.72306,-74.009125",NA
15 Broad St #1410,"$3,300,000",NA,NA,10005,NA,"40.70653,-74.010574",NA
310 E 53rd St #2-3D,"$1,895,000+",2 ba,Condo,10022,1 bd,"40.756386,-73.96694","1,700 sqft"
16 W 19th St #9C,"$1,595,000",NA,NA,10011,NA,"40.73935,-73.992584",NA
Address Not Disclosed,"$3,650,000",3 ba,Condo,10065,3 bd,"40.764275,-73.958145","1,700 sqft"
323 Park Ave S #7A,,NA,NA,10010,NA,"40.74083,-73.98553",NA
18 W 48th St,,NA,NA,10036,NA,"40.757683,-73.97934",NA
45 Sutton Pl S #18KL,"$4,500,000",NA,NA,10022,NA,"40.755577,-73.9614",NA
200 E 74th St #21CD,"$2,950,000",NA,NA,10021,NA,"40.770744,-73.959435",NA
350 W 42nd St #37H,"$1,500,000+",1 ba,Condo,10036,1 bd,"40.756866,-73.99069",794 sqft
31 W 12th St #5E,,1 ba,Coop,10011,3 bd,"40.735363,-73.995735",NA
52 E 4th St #4N,"$1,550,000",NA,NA,10003,NA,"40.72665,-73.99111",NA
Address Not Disclosed,,NA,NA,10002,NA,"40.714645,-73.9915",NA
251 W 19th St #9C,,NA,NA,10011,NA,"40.74262,-73.99917",NA
15 William St #14G,"$1,104,000",NA,NA,10005,NA,"40.705345,-74.01017",NA
200 E 66th St #A507,,NA,NA,10065,NA,"40.765186,-73.96233",NA
160 Central Park S #1817,,1 ba,Condo,10019,1 bd,"40.766174,-73.978516",850 sqft
530 Park Ave #3-A,,NA,NA,10065,NA,"40.764137,-73.96947",NA
99 John St #325,"$1,095,000",NA,NA,10038,NA,"40.708134,-74.006065",NA
236 E 47th St #38A,,NA,NA,10017,NA,"40.753105,-73.970764",NA
1 Irving Pl #V19E,"$1,295,000",NA,NA,10003,NA,"40.734646,-73.98921",NA
430 E 57th St #12D,,2 ba,Coop,10022,2 bd,"40.75756,-73.961945",NA
415 E 54th St #6E,"$1,200,000",1.5 ba,Condo,10022,1 bd,"40.756054,-73.963135","1,000 sqft"
502 Park Ave #12K,"$1,875,000",1 ba,Condo,10022,1 bd,"40.763287,-73.97011",664 sqft
30 West St #29C,,2 ba,Condo,10004,2 bd,"40.706573,-74.01578","1,150 sqft"
123 Washington St #38-F,"$1,680,000",NA,NA,10006,NA,"40.709145,-74.013695",NA
740 Park Ave #1D,"$4,200,000",2 ba,Coop,10021,NA,"40.77085,-73.964745",NA
300 E 40th St,"$2,795,000",NA,NA,10016,NA,"40.747993,-73.972824",NA
875 5th Ave #15D,,NA,NA,10065,NA,"40.77014,-73.9682",NA
310 E 51st St #12,,NA,NA,10022,NA,"40.75504,-73.96757",NA
15 William St #18B,,NA,NA,10005,NA,"40.705345,-74.01017",NA
350 W 42nd St #8-F,,NA,NA,10036,NA,"40.756866,-73.99069",NA
450 W 17th St #2306,,NA,NA,10011,NA,"40.74335,-74.00549",NA
123 Washington St #39-ABD,,NA,NA,10006,NA,"40.709145,-74.013695",NA
172 Madison Ave #5C,"$1,325,000",1.5 ba,Condo,10016,1 bd,"40.747337,-73.98363",891 sqft
330 E 38th St #23Q,,NA,NA,10016,NA,"40.746414,-73.97337",NA
190 E 72nd St #24A,"$12,500,000",NA,NA,10021,NA,"40.76978,-73.961044",NA
120 Riverside Blvd #3N,,1 ba,Condo,10069,1 bd,"40.776352,-73.98913",935 sqft
245 E 54th St #14J,"$435,000",NA,NA,10022,NA,"40.757862,-73.96674",NA
144 W 73rd St,"$12,000,000",10 ba,Townhome,10023,1 bd,"40.778545,-73.97998",NA
400 E 67th St #14D,,NA,NA,10065,NA,"40.764275,-73.958145",NA
425 E 86th St #11,"$2,390,000",NA,NA,10028,NA,"40.776672,-73.94815",NA
15 William St #27A,"$2,059,000",NA,NA,10005,NA,"40.705345,-74.01017",NA
15 W 53rd St #42B,,2 ba,Condo,10019,2 bd,"40.76152,-73.977615","1,917 sqft"
146 W 57th St #41A,"$3,250,000",NA,NA,10019,NA,"40.764725,-73.979294",NA
29 W 64th St #2C,"$725,000",1 ba,Coop,10023,1 bd,"40.771923,-73.98087",NA
88 Greenwich St #3404,,1 ba,Condo,10006,1 bd,"40.707825,-74.01385",759 sqft
525 E 80th St #7D,"$1,895,000",2 ba,Single-Family Home,10075,2 bd,"40.771633,-73.9483","1,370 sqft"
732 W End Ave #6,"$2,816,000",NA,NA,10025,NA,"40.794838,-73.9731",NA
101 Wall St #7A,"$1,155,000+",1 ba,Condo,10005,1 bd,"40.704803,-74.00722",706 sqft
Address Not Disclosed,"$769,995",NA,NA,10069,NA,"40.776352,-73.98913",NA
840 Broadway #6FLR,"$4,950,000",NA,NA,10003,NA,"40.733727,-73.9907",NA
122 E 95th St,"$9,200,000",NA,NA,10128,NA,"40.785355,-73.95242",NA
17 W 71st St #6A,,3 ba,Coop,10023,3 bd,"40.77611,-73.97723",NA
462 W 58th St #9-C,,NA,NA,10019,NA,"40.769318,-73.98753",NA
425 W 50th St #11-F,,NA,NA,10019,NA,"40.764374,-73.99013",NA
11 E 36th St #1006,"$1,325,000",NA,NA,10016,NA,"40.749653,-73.982605",NA
860 United Nations Plz #9B,,2 ba,Coop,10017,2 bd,"40.75214,-73.96692",NA
328 W 19th St,"$18,950,000",NA,NA,10011,NA,"40.7432,-74.001686",NA
205 E 59th St #10A,"$1,850,000",NA,NA,10022,NA,"40.761627,-73.9661",NA
Address Not Disclosed,"$3,195,000",2 ba,Condo,10019,2 bd,"40.764725,-73.979294",NA
169 E 69th St #13C,"$2,200,000",2 ba,Coop,10021,2 bd,"40.768147,-73.96218",NA
117 E 57th St #36CD,,NA,NA,10022,NA,"40.76171,-73.96976",NA
825 W End Ave #13C,,NA,NA,10025,NA,"40.798176,-73.97158",NA
422 E 72nd St,"$3,350,000",NA,NA,10021,NA,"40.766853,-73.95503",NA
188 E 78th St #7C,"$3,550,000",2 ba,Condo,10075,2 bd,"40.77346,-73.9583",NA
301 W 53rd St #19F,"$1,915,000",NA,NA,10019,NA,"40.76466,-73.98491",NA
29 E 64th St #6B,,2 ba,Coop,10065,2 bd,"40.76678,-73.96869",NA
655 Park Ave,,NA,NA,10065,NA,"40.76805,-73.96551",NA
4 Sutton Pl #1A,"$1,250,000",NA,NA,10022,NA,"40.75772,-73.95988",NA
111 W 67th St,"$1,575,000",NA,NA,10023,NA,"40.77467,-73.981064",NA
305 W 71st St,"$11,900,000",5 ba,Townhome,10023,7 bd,"40.779526,-73.98534",NA
301 W 57th St #33B,"$1,914,000",NA,NA,10019,NA,"40.767094,-73.98302",NA
70 Charlton St,"$6,000,000",NA,NA,10014,NA,"40.727077,-74.00627",NA
240 E 76th St #6S,"$675,000",1 ba,Coop,10021,1 bd,"40.771214,-73.95702",NA
180 E End Ave,"$2,150,000",NA,NA,10128,NA,"40.776726,-73.94401",NA
123 Washington St #40H,,NA,NA,10006,NA,"40.709145,-74.013695",NA
65 Central Park W #1C,,1 ba,Coop,10023,1 bd,"40.77279,-73.97886",NA
768 5th Ave #1430,"$2,475,000",NA,NA,10019,NA,"40.764454,-73.97448",NA
210 W 77th St #5W,,NA,NA,10024,NA,"40.78186,-73.97976",NA
241 W 36th St #8,,2 ba,Coop,10018,NA,"40.75313,-73.99112","4,000 sqft"
1280 5th Ave #15B,"$3,850,000",NA,NA,10029,NA,"40.796276,-73.94924",NA
641 5th Ave #39A,,2 ba,Condo,10022,2 bd,"40.75907,-73.97595","1,800 sqft"
30 W 61st St #11E,"$975,000",1 ba,Condo,10023,1 bd,"40.76998,-73.9833",666 sqft
33 W 56th St #8-A,"$2,880,000",NA,NA,10019,NA,"40.763233,-73.976105",NA
123 Washington St #39-B,,NA,NA,10006,NA,"40.709145,-74.013695",NA
325 W 75th St #4,"$2,300,000",NA,NA,10023,NA,"40.78245,-73.984085",NA
15 William St #39I,"$2,250,000",NA,NA,10005,NA,"40.705345,-74.01017",NA
635 W 42nd St #21AN,"$4,000,000",NA,NA,10036,NA,"40.76179,-73.99966",NA
551 W 21st St #6C,"$7,250,000",3 ba,Condo,10011,3 bd,"40.747635,-74.00737","2,984 sqft"
330 E 38th St #44-K,"$1,899,999",NA,NA,10016,NA,"40.746414,-73.97337",NA
50 W 47th St #20AT,,NA,NA,10036,NA,"40.757423,-73.98075",NA
325 Lexington Ave #19B,"$1,445,000",1 ba,Condo,10016,1 bd,"40.749165,-73.977394",647 sqft
447 E 57th St #3B,"$2,495,000",2 ba,Coop,10022,2 bd,"40.75791,-73.961235",NA
225 E 81st St,,NA,NA,10028,NA,"40.775326,-73.95511",NA
70 Charlton St,"$4,320,000",NA,NA,10014,NA,"40.727077,-74.00627",NA
2 Sutton Pl S,,NA,NA,10022,NA,"40.757217,-73.96119",NA
229 W 97th St,"$3,950,000",NA,NA,10025,NA,"40.79532,-73.97066",NA
216 E 47th St #3A,"$1,620,000",NA,NA,10017,NA,"40.75334,-73.971306",NA
865 United Nations Plz #16A,,NA,NA,10017,NA,"40.753036,-73.96716",NA
1 Central Park S #2002,"$6,750,000",2 ba,Condo,10019,2 bd,"40.76413,-73.97356","1,457 sqft"
188 E 76th St,,NA,NA,10021,NA,"40.772305,-73.959274",NA
470 W 24th St #19EF,,NA,NA,10011,NA,"40.747852,-74.00287",NA
123 Washington St #39-A,,NA,NA,10006,NA,"40.709145,-74.013695",NA
120 Riverside Blvd #14U,,NA,NA,10069,NA,"40.776352,-73.98913",NA
2280 Frederick Douglass Blvd #7-F,"$890,000",NA,NA,10027,NA,"40.808384,-73.95206",NA
223 W 19th St,,NA,NA,10011,NA,"40.742233,-73.99846",NA
415 E 54th St #22M,,3 ba,Condo,10022,3 bd,"40.756054,-73.963135","2,250 sqft"
45 E 30th St #10A,"$2,250,000",2 ba,Condo,10016,2 bd,"40.74499,-73.9836","1,253 sqft"
870 5th Ave #16A,,NA,NA,10065,NA,"40.769886,-73.96834",NA
865 United Nations Plz #9C,,NA,NA,10017,NA,"40.753036,-73.96716",NA
146 W 57th St #41D,,NA,NA,10019,NA,"40.764725,-73.979294",NA
111 E 56th St #803,,2 ba,Coop,10022,1 bd,"40.76071,-73.970345",NA
123 Washington St #53G,"$1,795,000",NA,NA,10006,NA,"40.709145,-74.013695",NA
27 W 72nd St #607,"$1,425,000",1 ba,Condo,10023,1 bd,"40.777256,-73.97737",732 sqft
721 5th Ave #54-B,"$4,995,000",NA,NA,10022,NA,"40.762352,-73.97389",NA
70 Little West St #28-C,"$3,100,000",NA,NA,10004,NA,"40.706654,-74.01685",NA
21 S End Ave,,NA,NA,10280,NA,"40.708305,-74.01812",NA
458 W 141st St,,NA,NA,10031,NA,"40.82218,-73.948845",NA
45 E 22nd St #16A,"$4,830,000",2.5 ba,Condo,10010,2 bd,"40.739933,-73.98723","1,930 sqft"
870 United Nations Plz #17A,"$1,400,000",NA,NA,10017,NA,"40.752365,-73.965645",NA
344 W End Ave,,NA,NA,10024,NA,"40.78246,-73.98215",NA
Address Not Disclosed,"$1,875,000",1 ba,Condo,10022,NA,"40.75907,-73.97595",674 sqft
106 Central Park S #21J,,NA,NA,10019,NA,"40.76543,-73.9769",NA
301 W 53rd St #3K,"$1,765,000",NA,NA,10019,NA,"40.76466,-73.98491",NA
123 Washington St #39-D,,NA,NA,10006,NA,"40.709145,-74.013695",NA
300 E 55th St #12B,,NA,NA,10022,NA,"40.757717,-73.96609",NA
124 E 79th St,"$8,000,000",NA,NA,10075,NA,"40.774952,-73.95964",NA
498 W End Ave #7A,"$7,700,000",4 ba,Condo,10024,4 bd,"40.78725,-73.978645","3,347 sqft"
50 Nations Plz #18A,"$6,935,000",NA,NA,10017,NA,"40.7516,-73.9681",NA
210 W 77th St #10E,"$5,250,000",NA,NA,10024,NA,"40.78186,-73.97976",NA
392 Central Park W #6N,"$1,108,000",1 ba,Condo,10025,1 bd,"40.79443,-73.96499",841 sqft
123 Washington St #44-G,,NA,NA,10006,NA,"40.709145,-74.013695",NA
300 E 64th St #22C,,NA,NA,10065,NA,"40.763485,-73.96187",NA
14 Sutton Pl S #3B,,3 ba,Coop,10022,2 bd,"40.75703,-73.961494",NA
345 E 46th St #11C,,NA,NA,10017,NA,"40.751766,-73.96831",NA
390 W End Ave #7C,,NA,NA,10024,NA,"40.783756,-73.980865",NA
571 Academy St #4C,,NA,NA,10034,NA,"40.864113,-73.92316",NA
67 Avenue C,"$1,850,000",NA,NA,10009,NA,"40.722836,-73.980095",NA
50 Sutton Pl S,"$4,800,000",4 ba,Coop,10022,3 bd,"40.75589,-73.9622",NA
123 Washington St #48D,"$2,535,000",NA,NA,10006,NA,"40.709145,-74.013695",NA
181 E 65th St #5D,,2 ba,Condo,10065,2 bd,"40.765533,-73.96401","1,157 sqft"
322 W 57th St #34S1,"$3,950,000",NA,NA,10019,NA,"40.76713,-73.9842",NA
2 Beekman Pl #11E,"$1,600,000",2 ba,Coop,10022,2 bd,"40.75306,-73.96532",NA
308 W 30th St,"$2,275,000",NA,NA,10001,NA,"40.74977,-73.99613",NA
315 W 70th St #18B,,2 ba,Coop,10023,2 bd,"40.779037,-73.98611",NA
425 E 58th St #14A,,NA,NA,10022,NA,"40.758698,-73.96139",NA
225 Rector Pl #8C,"$950,000",NA,NA,10280,NA,"40.709423,-74.01596",NA
61 W 62nd St #19L,"$939,000",1 ba,Coop,10023,1 bd,"40.771114,-73.98283",750 sqft
1280 5th Ave #20D,"$2,650,000",2 ba,Condo,10029,3 bd,"40.796276,-73.94924","1,490 sqft"
29 E 64th St,"$2,750,000",NA,NA,10065,NA,"40.76678,-73.96869",NA
64 W 87th St,,5 ba,Single-Family Home,10024,5 bd,"40.78678,-73.97136",NA
325 5th Ave,"$2,777,800",NA,NA,10016,NA,"40.74698,-73.98485",NA
118 Riverside Dr #10B,,NA,NA,10024,NA,"40.788315,-73.980896",NA
156 W 15th St,"$12,000,000",NA,NA,10011,NA,"40.738804,-73.99873",NA
2 S End Ave #5U,,1 ba,Condo,10280,1 bd,"40.707924,-74.01724",NA
35 Park Ave #12A,"$875,000",1 ba,Coop,10016,1 bd,"40.747944,-73.98021",NA
641 5th Ave #35BC,,NA,NA,10022,NA,"40.75907,-73.97595",NA
69 Bennett Ave #302,,NA,NA,10033,NA,"40.852608,-73.93528",NA
630 1st Ave #23R,"$999,000",NA,NA,10016,NA,"40.745155,-73.97184",NA
650 Park Ave #14B,"$1,495,000",NA,NA,10065,NA,"40.767883,-73.966736",NA
12 Beekman Pl #11C,,NA,NA,10022,NA,"40.753265,-73.96523",NA
1025 5th Ave #10B-S,"$2,295,000",2 ba,Loft,10028,2 bd,"40.77961,-73.96093",NA
322 W 57th St #35D,,NA,NA,10019,NA,"40.76713,-73.9842",NA
524 E 72nd St #PH1A,,NA,NA,10021,NA,"40.76594,-73.95221",NA
50 West St #9D,"$4,690,000+",NA,NA,10006,NA,"40.708702,-74.01494",NA
641 5th Ave #28F,,NA,NA,10022,NA,"40.75907,-73.97595",NA
322 W 57th St #40B,,NA,NA,10019,NA,"40.76713,-73.9842",NA
33 W 56th St,"$4,950,000",NA,NA,10019,NA,"40.763233,-73.976105",NA
135 W 52nd St #19B,"$3,550,000",NA,NA,10019,NA,"40.762245,-73.98171",NA
21 E 61st St #4E,"$14,500,000",NA,NA,10065,NA,"40.764854,-73.97019",NA
515 Park Ave #4A,,2 ba,Condo,10022,2 bd,"40.76321,-73.96917","2,520 sqft"
50 West St #39C,"$6,930,000+",NA,NA,10006,NA,"40.708702,-74.01494",NA
250 E 53rd St #3001,"$3,100,000",2 ba,Condo,10022,2 bd,"40.75675,-73.96767","1,559 sqft"
204 Forsyth St #3A,"$3,400,000",NA,NA,10002,NA,"40.722694,-73.99031",NA
1 W End Ave #24F,"$6,400,000",4.5 ba,Condo,10023,4 bd,"40.773373,-73.989975","2,836 sqft"
135 E 71st St,,NA,NA,10021,NA,"40.770058,-73.963104",NA
55 E 72nd St,"$895,000",NA,NA,10021,NA,"40.77161,-73.96428",NA
475 Park Ave #10B,,1 ba,Coop,10022,1 bd,"40.761925,-73.97005",NA
505 W 19th St #3W,"$6,300,000",3.5 ba,Condo,10011,3 bd,"40.745647,-74.00637","2,993 sqft"
768 5th Ave #1438,,NA,NA,10019,NA,"40.764454,-73.97448",NA
150 Central Park S,,NA,NA,10019,NA,"40.766052,-73.977936",NA
150 Central Park S #608,"$625,000",1 ba,Coop,10019,NA,"40.766052,-73.977936",NA
246 Spring St #1104,,NA,NA,10013,NA,"40.7253,-74.00541",NA
157 E 37th St #6-E,"$739,000",NA,NA,10016,NA,"40.74806,-73.97717",NA
225 E 81st St #PH,,NA,NA,10028,NA,"40.775326,-73.95511",NA
205 W 19th St #6F,,NA,NA,10011,NA,"40.742043,-73.99783",NA
111 E 56th St #804,,1 ba,Coop,10022,1 bd,"40.76071,-73.970345",NA
85 Sullivan St,,NA,NA,10012,NA,"40.7248,-74.00344",NA
76 Madison Ave #11A,"$4,895,000",3 ba,Condo,10016,3 bd,"40.74404,-73.9862","2,291 sqft"
15 W 53rd St #32D,"$4,395,000",2 ba,Condo,10019,2 bd,"40.76152,-73.977615","1,917 sqft"
35 Sutton Pl,"$2,395,000",NA,NA,10022,NA,"40.7583,-73.959465",NA
88 Greenwich St #1808,"$1,788,000",1 ba,Condo,10006,1 bd,"40.707825,-74.01385",950 sqft
135 W 52nd St #33C,"$3,750,000",NA,NA,10019,NA,"40.762245,-73.98171",NA
200 W 78th St #5D,"$1,775,000",2 ba,Condo,10024,3 bd,"40.782352,-73.97916",995 sqft
252 7th Ave #10W,,NA,NA,10001,NA,"40.745304,-73.99549",NA
139 E 33rd St #12DE,,2 ba,Coop,10016,2 bd,"40.746086,-73.9805",NA
150 Central Park S #402,"$2,250,000",1 ba,Coop,10019,1 bd,"40.766052,-73.977936",NA
20 W 53rd St #37B,"$6,150,000",NA,NA,10019,NA,"40.76057,-73.97657",NA
781 5th Ave #501,,2 ba,Coop,10022,2 bd,"40.764313,-73.97252",NA
130 E 67th St #1F,"$3,475,000",NA,NA,10065,NA,"40.766888,-73.96429",NA
80 Riverside Blvd #7C,"$3,675,000+",3 ba,Condo,10069,2 bd,"40.77515,-73.99033","1,770 sqft"
212 W 18th St #19B,"$12,500,000",4 ba,Condo,10011,3 bd,"40.741257,-73.99871","2,691 sqft"
