Address,Housing_price,Baths,Housing_type,ZipCode,Beds,Location,Housing_area
99 John St #306,"$1,195,000",NA,NA,10038,NA,"40.708134,-74.006065",NA
419 W 55th St #4C,"$1,395,000",NA,NA,10019,NA,"40.767246,-73.98754",NA
303 E 57th St #14G,,NA,NA,10022,NA,"40.759224,-73.96473",NA
420 E 72nd St #17D,"$650,000",1 ba,Coop,10021,1 bd,"40.76721,-73.95535",NA
45 Tudor City Pl #1212,"$325,000",NA,NA,10017,NA,"40.74936,-73.96998",NA
409 Edgecombe Ave #11-F,"$399,000",NA,NA,10032,NA,"40.82936,-73.94008",NA
155 W 66th St #436,"$207,000",NA,NA,10023,NA,"40.774517,-73.983154",NA
10 Mitchell Pl #7AB,"$1,475,000",NA,NA,10017,NA,"40.753178,-73.96569",NA
520 E 72nd St #16D,"$565,000",1 ba,Coop,10021,1 bd,"40.76592,-73.952835",NA
77 Park Ave #7G,"$1,200,000",NA,NA,10016,NA,"40.74983,-73.97867",NA
172 E 90th St #3W,"$1,200,000",NA,NA,10128,NA,"40.781403,-73.952774",NA
457 W 57th St #308,"$299,000",NA,NA,10019,NA,"40.76899,-73.98752",NA
Address Not Disclosed,"$1,100,000",NA,NA,10036,NA,"40.760143,-73.99401",NA
156 W 73rd St #4R,"$425,000",NA,NA,10023,NA,"40.778706,-73.98036",NA
579 W 215th St #3F,"$499,900",NA,NA,10034,NA,"40.871918,-73.91868",NA
130 Bradhurst Ave #213,"$540,000",NA,NA,10039,NA,"40.825493,-73.94105",NA
1965 Broadway #PHB3,"$23,500,000",NA,NA,10023,NA,"40.77451,-73.98272",NA
520 E 76th St #9-G,"$550,000",NA,NA,10021,NA,"40.768776,-73.950905",NA
333 E 43rd St #901,,NA,NA,10017,NA,"40.750015,-73.96997",NA
344 W 11th St #2E2W,"$2,950,000",NA,NA,10014,NA,"40.735416,-74.007965",NA
418 W 46th St #3-A,"$435,000",NA,NA,10036,NA,"40.761234,-73.99197",NA
455 E 51st St #4-D,"$999,999",NA,NA,10022,NA,"40.753902,-73.963684",NA
403 E 90th St #4W,"$550,000",NA,NA,10128,NA,"40.77941,-73.94688",NA
333 E 43rd St #916,"$535,000",1 ba,Coop,10017,1 bd,"40.750015,-73.96997",NA
45 Tudor City Pl #408,"$325,000",NA,NA,10017,NA,"40.74936,-73.96998",NA
200 E 24th St #1001,"$450,000",NA,NA,10010,NA,"40.73914,-73.98254",NA
200 E 24th St #501,"$995,000",NA,NA,10010,NA,"40.73914,-73.98254",NA
100 W 72nd St #3E,"$569,000",NA,NA,10023,NA,"40.77723,-73.97933",NA
15 William St #10A,"$1,690,000",NA,NA,10005,NA,"40.705345,-74.01017",NA
2 Tudor City Pl,"$3,595,000",NA,NA,10017,NA,"40.74832,-73.97167",NA
2 S End Ave #8J,"$470,000",1 ba,Condo,10280,1 bd,"40.707924,-74.01724",NA
471 Washington St #PH,"$29,995,000",NA,NA,10013,NA,"40.724777,-74.009865",NA
227 W 16th St #1-WF,"$1,425,000",NA,NA,10011,NA,"40.740623,-73.99986",NA
655 Riverside Dr #3A,"$400,000",1 ba,Coop,10031,2 bd,"40.825542,-73.95301",NA
35 N Moore St #PH,"$33,500,000",NA,NA,10013,NA,"40.72016,-74.00774",NA
530 Manhattan Ave #7,"$200,000",NA,NA,10027,NA,"40.808926,-73.9536",NA
415 E 80th St #5B,"$399,000",1 ba,Coop,10075,1 bd,"40.772938,-73.95139",NA
