HOA,Housing_area,Crime_level,Address,Housing_type,Beds,Postal_code,Built_year,Baths,Housing_price
"$1,019","1,351 sqft",Lowest,133 Mulberry St #4B,Condo,3 Bedroom,10013,Built in 1893,2 full Bathroom,"$1,702/sqft"
$700,NA,Moderate,348 W 48th St #1W,Coop,1 Bedroom,10036,Built in 1920,1 full Bathroom,NA
"$13,050","5,000 sqft",Lowest,435 E 52nd St #6,Coop,5 Bedroom,10022,Built in 1931,,"$1,700/sqft"
"$1,081",NA,NA,101 W 12th St #11T,Coop,NA,10011,Built in 1962,1 full Bathroom,NA
$598,NA,Lowest,327 W 85th St #2C,Coop,NA,10024,Built in 1920,1 full Bathroom,NA
"$1,649","1,461 sqft",Lowest,212 Warren St #26A,Condo,2 Bedroom,10282,Built in 2000,,"$1,882/sqft"
"$2,008","1,770 sqft",Moderate,220 E 65th St,Condo,3 Bedroom,10065,NA,3 full Bathroom,"$2,427/sqft"
"$1,253","1,005 sqft",Moderate,393 W 49th St #6G,Condo,2 Bedroom,10019,Built in 1988,2 full Bathroom,"$1,500/sqft"
"$2,073",NA,Lowest,150 W 87th St #2B,Coop,2 Bedroom,10024,Built in 1912,2 full Bathroom,NA
NA,554 sqft,Moderate,219 W 81st St #6J,Condo,1 Bedroom,10024,NA,1 full Bathroom,"$1,570/sqft"
"$3,368","1,930 sqft",NA,2 5th Ave #2526,Coop,3 Bedroom,10011,Built in 1950,,"$2,072/sqft"
$948,"1,524 sqft",Low,100 W 119th St #2B,Condo,4 Bedroom,10026,Built in 1910,2 full Bathroom,
"$2,048","1,565 sqft",Lowest,10 West St #33A,Condo,2 Bedroom,10004,NA,,"$2,109/sqft"
"$3,331","3,800 sqft",NA,Address Not Disclosed,Coop,3 Bedroom,10013,NA,,"$1,592/sqft"
"$1,750",700 sqft,Lowest,61 E 77th St #7C,Coop,1 Bedroom,10075,Built in 1905,1 full Bathroom,"$1,071/sqft"
$579,780 sqft,Lowest,411 E 53rd St #4M,Condo,1 Bedroom,10022,Built in 1959,1 full Bathroom,"$1,077/sqft"
"$5,516","3,173 sqft",Lowest,15 Central Park W #35D,Condo,3 Bedroom,10023,NA,,"$10,400/sqft"
"$4,300","4,000 sqft",Lowest,220 Riverside Blvd,Condo,4 Bedroom,10069,Built in 2000,,"$3,488/sqft"
"$1,925","1,200 sqft",Lowest,225 E 36th St #9-N,Coop,2 Bedroom,10016,NA,2 full Bathroom,"$1,079/sqft"
"$1,010",NA,Lowest,46 W 65th St #4D,Coop,1 Bedroom,10023,Built in 1898,1 full Bathroom,NA
NA,"1,000 sqft",Lowest, E 89th #L,Coop,2 Bedroom,10128,NA,1 full Bathroom,
"$1,883","3,000 sqft",Lowest,25 N Moore St #2A,Condo,2 Bedroom,10013,NA,,"$2,183/sqft"
NA,"2,754 sqft1,800 sqft",NA,Address Not Disclosed,Multi-Family Home,NA,10032,NA,NA,
NA,"1,515 sqft",Lowest,145 W 87th St,Townhome,4 Bedroom,10024,Built in 1899,,NA
"$6,923","6,168 sqft",Lowest,50 Riverside Blvd #PH5A,Condo,6 Bedroom,10069,Built in 2015,,"$3,752/sqft"
"$1,102",847 sqft,Lowest,235 W 75th St #620,Condo,1 Bedroom,10023,NA,1 full Bathroom,"$1,771/sqft"
